Bacteria,Resistant_Drug_Classes,ACF_Lag12,Seasonal_Strength,Has_Seasonality_ACF,Has_Seasonality_Strength
Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.4269414214327772,0.29086065416907414,False,False
Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.36355384708212224,0.08267397535824139,False,False
Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.09364622202109872,0.16335472571683252,False,False
Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.4732192170241913,0.4370323635479816,False,True
Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.3406902786536833,0.0,False,False
Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",0.6963704533370247,0.0,True,False
Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.5054610721611055,0.0,True,False
Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",0.7690756578084702,0.0017295926258085181,True,False
Enterococcus faecalis,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",0.76048546502052,0.0026072964302081836,True,False
Enterococcus faecalis,"MACROLIDES, PHENICOLS, TETRACYCLINES",0.3987590136638383,3.71208849103688e-06,False,False
Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",0.4041687711255292,2.1924526760752627e-06,False,False
Enterococcus faecium,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.6141867300644749,0.0,True,False
Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",0.7101465293290166,0.0005195924978753652,True,False
Enterococcus faecium,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",-0.04069400835655727,0.0,False,False
Enterococcus faecium,"MACROLIDES, PENICILLINS, TETRACYCLINES",0.6971344869877109,0.0,True,False
Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.6363422178393945,0.43843776773724497,True,True
Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.6466190602814494,0.08458196608812407,True,False
Escherichia coli,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.5063470541910713,0.17078425670513975,True,False
Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.5124635170537937,0.3104213995061105,True,True
Escherichia coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",-0.046452185107939616,0.13628732215179407,False,False
Klebsiella pneumoniae,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.662987628739582,0.08468348804439874,True,False
Klebsiella pneumoniae,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.6982271529314388,0.12721524467030954,True,False
Klebsiella pneumoniae,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.5968403562003107,0.43761911773942164,True,True
Klebsiella pneumoniae,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",-0.05386558533148171,0.12735025758347784,False,False
Klebsiella pneumoniae,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.29177462803983983,0.2604766882148395,False,False
Pseudomonas aeruginosa,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",-0.08825108987633119,0.14199877751639123,False,False
Pseudomonas aeruginosa,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.05301606444004796,0.15643284102490307,False,False
Pseudomonas aeruginosa,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.2542334936079986,0.02493150777111497,False,False
Pseudomonas aeruginosa,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",0.35457525246597943,0.1003865896746009,False,False
Pseudomonas aeruginosa,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.2804999381000008,0.14987368692253067,False,False
Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",0.006611777452106882,0.05672087089035727,False,False
Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.07399031267603964,0.0,False,False
Staphylococcus aureus,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",0.3902226490973935,0.08551708913647671,False,False
Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.22024896045145875,0.0,False,False
Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",0.027740403967458787,0.0,False,False
