Bacteria,Ward_Type,Resistant_Drug_Classes,ACF_Lag12,Seasonal_Strength,Has_Seasonality
Acinetobacter baumannii,icu,AMINOGLYCOSIDES,0.23990376911078595,0.10050023373578998,False
Acinetobacter baumannii,icu,CARBAPENEMS,0.09201886442061266,0.19996256693958547,False
Acinetobacter baumannii,icu,CEPHEMS,-0.07485207944907646,0.1404107748157667,False
Acinetobacter baumannii,icu,FLUOROQUINOLONES,0.07610733952179542,0.09506409079596467,False
Acinetobacter baumannii,icu,FOLATE PATHWAY ANTAGONISTS,0.17806927853168555,0.30133100480539765,True
Acinetobacter baumannii,icu,β-LACTAM COMBINATION AGENTS,0.012935481840574869,0.042351914853187234,False
Acinetobacter baumannii,in,AMINOGLYCOSIDES,0.07789068949199199,0.12220621739737114,False
Acinetobacter baumannii,in,CARBAPENEMS,0.4370312193717168,0.3332429797816423,True
Acinetobacter baumannii,in,CEPHEMS,0.004440412516067588,0.06558506106279793,False
Acinetobacter baumannii,in,FLUOROQUINOLONES,0.22825717748489488,0.2423595835652581,False
Acinetobacter baumannii,in,FOLATE PATHWAY ANTAGONISTS,0.26396945213181316,0.3035312340306854,True
Acinetobacter baumannii,in,β-LACTAM COMBINATION AGENTS,0.016718207469085644,0.3137378996120642,True
Acinetobacter baumannii,out,AMINOGLYCOSIDES,-0.17470443216316828,0.0,False
Acinetobacter baumannii,out,CARBAPENEMS,0.12332590528222194,0.0,False
Acinetobacter baumannii,out,CEPHEMS,0.024608199052684028,0.0806097444249535,False
Acinetobacter baumannii,out,FLUOROQUINOLONES,-0.08199211491720404,0.08914048493742521,False
Acinetobacter baumannii,out,FOLATE PATHWAY ANTAGONISTS,-0.06774493843602328,0.0,False
Acinetobacter baumannii,out,β-LACTAM COMBINATION AGENTS,-0.04779862648663332,0.13719908078668352,False
Enterococcus faecalis,icu,MACROLIDES,0.6860879563092843,0.0002504457416221406,True
Enterococcus faecalis,in,TETRACYCLINES,0.6998888580161154,0.0,True
Enterococcus faecalis,out,TETRACYCLINES,0.6833333333333332,0.0,True
Escherichia coli,icu,AMINOGLYCOSIDES,0.16575553767628043,0.07348238871843016,False
Escherichia coli,icu,CARBAPENEMS,0.6616372658538555,0.0,True
Escherichia coli,icu,CEPHEMS,0.07680778017559756,0.0,False
Escherichia coli,icu,FLUOROQUINOLONES,0.06853921817543226,0.28422052999540115,False
Escherichia coli,icu,FOLATE PATHWAY ANTAGONISTS,-0.10191250681002845,0.1859470452896883,False
Escherichia coli,icu,PENICILLINS,0.20140257799599842,0.23767708752133854,False
Escherichia coli,icu,β-LACTAM COMBINATION AGENTS,0.6270145501114635,0.0,True
Escherichia coli,in,AMINOGLYCOSIDES,-0.024384469432970436,0.1429183701371921,False
Escherichia coli,in,CARBAPENEMS,-0.12567004692813682,0.0799878358615701,False
Escherichia coli,in,CEPHEMS,0.07009527248082234,0.10563536787131478,False
Escherichia coli,in,FLUOROQUINOLONES,0.4329256617122289,0.3675254230154573,True
Escherichia coli,in,FOLATE PATHWAY ANTAGONISTS,-0.15226585717811555,0.16328220551835104,False
Escherichia coli,in,PENICILLINS,0.37989140785238934,0.25295414161736773,False
Escherichia coli,in,β-LACTAM COMBINATION AGENTS,0.012111247371067233,0.1725830342610455,False
Escherichia coli,out,AMINOGLYCOSIDES,0.1442951528540486,0.19493911100491568,False
Escherichia coli,out,CARBAPENEMS,0.3949304425463898,0.0,False
Escherichia coli,out,CEPHEMS,0.21322659456119872,0.0,False
Escherichia coli,out,FLUOROQUINOLONES,0.1577029053680039,0.15801457116674344,False
Escherichia coli,out,FOLATE PATHWAY ANTAGONISTS,0.17804929450026175,0.45527395065748233,True
Escherichia coli,out,PENICILLINS,0.1818882352474043,0.2279919178669546,False
Escherichia coli,out,β-LACTAM COMBINATION AGENTS,-0.07235294225761887,0.0,False
Klebsiella pneumoniae,icu,PENICILLINS,,0.0,False
Klebsiella pneumoniae,in,PENICILLINS,,0.0,False
Klebsiella pneumoniae,out,PENICILLINS,,0.0,False
Pseudomonas aeruginosa,icu,AMINOGLYCOSIDES,0.5287674019219627,0.0,True
Pseudomonas aeruginosa,icu,CARBAPENEMS,0.08485192415425927,0.494899237054257,True
Pseudomonas aeruginosa,icu,CEPHEMS,0.24943197119800833,0.0,False
Pseudomonas aeruginosa,icu,FLUOROQUINOLONES,0.3324068819185902,0.0,False
Pseudomonas aeruginosa,icu,LIPOPEPTIDES,0.22197316368703315,0.0,False
Pseudomonas aeruginosa,icu,β-LACTAM COMBINATION AGENTS,-0.00016289862148932883,0.0,False
Pseudomonas aeruginosa,in,AMINOGLYCOSIDES,0.14453759135514002,0.10314420437622585,False
Pseudomonas aeruginosa,in,CARBAPENEMS,0.438255027872415,0.04638368561233841,False
Pseudomonas aeruginosa,in,CEPHEMS,0.46259446419494143,0.0,False
Pseudomonas aeruginosa,in,FLUOROQUINOLONES,0.617249823662508,0.04089520568652305,True
Pseudomonas aeruginosa,in,LIPOPEPTIDES,0.14820003145898022,0.01207143412866818,False
Pseudomonas aeruginosa,in,β-LACTAM COMBINATION AGENTS,0.346234728425721,0.019249005637426153,False
Pseudomonas aeruginosa,out,AMINOGLYCOSIDES,0.6973877541460434,0.0,True
Pseudomonas aeruginosa,out,CARBAPENEMS,-0.03061904873848103,0.36249007097091457,True
Pseudomonas aeruginosa,out,CEPHEMS,0.3463874106168848,0.0,False
Pseudomonas aeruginosa,out,FLUOROQUINOLONES,0.5548528226757928,0.013922163133066157,True
Pseudomonas aeruginosa,out,LIPOPEPTIDES,0.12806516546583407,0.0,False
Pseudomonas aeruginosa,out,β-LACTAM COMBINATION AGENTS,0.01979355100366394,0.19862944037848995,False
Staphylococcus aureus,icu,AMINOGLYCOSIDES,-0.005699456102002251,0.0,False
Staphylococcus aureus,icu,FLUOROQUINOLONES,0.597705591970393,0.008568046056013134,True
Staphylococcus aureus,icu,FOLATE PATHWAY ANTAGONISTS,0.04188990272656925,0.0,False
Staphylococcus aureus,icu,GLYCOPEPTIDES,0.6620362847360338,0.0,True
Staphylococcus aureus,icu,LINCOSAMIDES,0.5757053899002813,0.0,True
Staphylococcus aureus,icu,LIPOGLYCOPEPTIDES,0.6769682726204463,0.0,True
Staphylococcus aureus,icu,MACROLIDES,0.35403501067854803,0.0,False
Staphylococcus aureus,icu,PENICILLINS,-0.07440184811515267,0.0,False
Staphylococcus aureus,icu,TETRACYCLINES,0.570781952241022,0.03351656057421104,True
Staphylococcus aureus,in,AMINOGLYCOSIDES,0.22764044847434894,0.004618477884997252,False
Staphylococcus aureus,in,FLUOROQUINOLONES,0.501380523364718,0.07403339360380723,True
Staphylococcus aureus,in,FOLATE PATHWAY ANTAGONISTS,0.10082749980016685,0.0,False
Staphylococcus aureus,in,GLYCOPEPTIDES,-0.03978535822735192,0.0,False
Staphylococcus aureus,in,LINCOSAMIDES,0.12103408279818245,0.0,False
Staphylococcus aureus,in,LIPOGLYCOPEPTIDES,0.04380246689543574,0.0,False
Staphylococcus aureus,in,MACROLIDES,0.17871772822408544,0.0,False
Staphylococcus aureus,in,PENICILLINS,0.1841075199610809,0.0,False
Staphylococcus aureus,in,TETRACYCLINES,0.4034047650561707,0.05577867631991573,False
Staphylococcus aureus,out,AMINOGLYCOSIDES,0.5251748672758677,0.014103988945300072,True
Staphylococcus aureus,out,FLUOROQUINOLONES,0.1788470991059089,0.002784974353346681,False
Staphylococcus aureus,out,FOLATE PATHWAY ANTAGONISTS,0.02887880697262277,0.013290144973794216,False
Staphylococcus aureus,out,GLYCOPEPTIDES,-0.008107946648257884,0.0,False
Staphylococcus aureus,out,LINCOSAMIDES,0.5414147181638429,0.004961559326384535,True
Staphylococcus aureus,out,LIPOGLYCOPEPTIDES,0.7145771904434637,0.0036121392176571288,True
Staphylococcus aureus,out,MACROLIDES,-0.009380494801528519,0.0,False
Staphylococcus aureus,out,PENICILLINS,-0.1066054987171998,0.0,False
Staphylococcus aureus,out,TETRACYCLINES,0.38495378496912597,0.0,False
