index,x_hos_code,laboratory,hos_name,province
1,1172200,MGH,โรงพยาบาลมงกุฏวัฒนะ,กรุงเทพมหานคร
2,1068500,SPK,โรงพยาบาลสมุทรปราการ,สมุทรปราการ
3,1178100,LAB_03,โรงพยาบาลนนทเวช,นนทบุรี
4,1068700,PTH,โรงพยาบาลปทุมธานี,ปทุมธานี
5,1153900,TKS,โรงพยาบาลตากสิน,กรุงเทพมหานคร
6,1113300,DTL,โรงพยาบาลดอยเต่า,เชียงใหม่
7,1066200,CBR,โรงพยาบาลชลบุรี (Chonburi),ชลบุรี
8,1072700,PEB,โรงพยาบาลเพชรบูรณ์,เพชรบูรณ์
9,1071100,NPM,โรงพยาบาลนครพนม,นครพนม
10,1072600,PIJ,โรงพยาบาลพิจิตร,พิจิตร
11,1072300,MSH,โรงพยาบาลแม่สอด,ตาก
12,1074100,PUK,โรงพยาบาลวชิระภูเก็ต,ภูเก็ต
13,1070900,KRS,โรงพยาบาลกาฬสินธุ์,กาฬสินธุ์
14,1072900,BAN,โรงพยาบาลบ้านโป่ง,ราชบุรี
15,1073700,PCK,โรงพยาบาลประจวบคีรีขันธ์,ประจวบคีรีขันธ์
16,1378000,CMH,โรงพยาบาลมหาราชนครเชียงใหม่ มหาวิทยาลัยเชียงใหม่,เชียงใหม่
17,1068100,SRT,โรงพยาบาลสุราษฎร์ธานี,สุราษฎร์ธานี
18,1071600,NAH,โรงพยาบาลน่าน,น่าน
19,1073400,SKO,โรงพยาบาลสมุทรสาคร,สมุทรสาคร
20,1072100,KPP,โรงพยาบาลกำแพงเพชร,กำแพงเพชร
21,1066400,PPK,โรงพยาบาลพระปกเกล้า,จันทบุรี
22,1066100,SRB,โรงพยาบาลสระบุรี,สระบุรี
23,1225700,BAM,สถาบันบำราศนราดูร,นนทบุรี
24,1067700,RAT,โรงพยาบาลราชบุรี,ราชบุรี
25,1071400,LPN,โรงพยาบาลลำพูน,ลำพูน
26,1071800,CKH,โรงพยาบาลเชียงคำ,พะเยา
27,1067400,CRH,โรงพยาบาลเชียงรายประชานุเคราะห์,เชียงราย
28,1497200,NUH,โรงพยาบาลมหาวิทยาลัยนเรศวร,พิษณุโลก
29,1072400,SKT,โรงพยาบาลสุโขทัย,สุโขทัย
30,1126600,WIC,โรงพยาบาลวิเชียรบุรี,เพชรบูรณ์
31,1072000,UTN,โรงพยาบาลอุทัยธานี,อุทัยธานี
32,1069400,CHN,โรงพยาบาลชัยนาทนเรนทร,ชัยนาท
33,1067500,SPR,โรงพยาบาลสวรรค์ประชารักษ์,นครสวรรค์
34,1067600,BUD,โรงพยาบาลพุทธชินราช,พิษณุโลก
35,1068600,NKH,โรงพยาบาลพระนั่งเกล้า,นนทบุรี
36,1069200,SBR,โรงพยาบาลสิงห์บุรี,สิงห์บุรี
37,1069000,LBH,โรงพยาบาลพระนารายณ์มหาราช,ลพบุรี
38,1068900,ATH,โรงพยาบาลอ่างทอง,อ่างทอง
39,1067800,PYY,โรงพยาบาลเจ้าพระยายมราช,สุพรรณบุรี
40,1073100,KJB,โรงพยาบาลพหลพลพยุหเสนา,กาญจนบุรี
41,1067900,NKP,โรงพยาบาลนครปฐม,นครปฐม
42,1073600,PBR,โรงพยาบาลพระจอมเกล้า,เพชรบุรี
43,1073500,SSK,โรงพยาบาลสมเด็จพระพุทธเลิศหล้า,สมุทรสงคราม
44,1132000,HUA,โรงพยาบาลหัวหิน,ประจวบคีรีขันธ์
45,1069700,CPL,โรงพยาบาลพุทธโสธร,ฉะเชิงเทรา
46,1069600,TRH,โรงพยาบาลตราด,ตราด
47,1066500,PRI,โรงพยาบาลเจ้าพระยาอภัยภูเบศร,ปราจีนบุรี
48,1070700,MKH,โรงพยาบาลมหาสารคาม,มหาสารคาม
49,1070800,RAE,โรงพยาบาลร้อยเอ็ด,ร้อยเอ็ด
50,1070400,NBP,โรงพยาบาลหนองบัวลำภู,หนองบัวลำภู
51,1070500,LUR,โรงพยาบาลเลย,เลย
52,1071000,SKN,โรงพยาบาลสกลนคร,สกลนคร
53,1066600,RSM,โรงพยาบาลมหาราชนครราชสีมา,นครราชสีมา
54,1097800,PKH,โรงพยาบาลภูเขียวเฉลิมพระเกียรติ,ชัยภูมิ
55,1066800,SRH,โรงพยาบาลสุรินทร์,สุรินทร์
56,1071200,MUK,โรงพยาบาลมุกดาหาร,มุกดาหาร
57,1070100,YAS,โรงพยาบาลยโสธร,ยโสธร
58,1070300,ANJ,โรงพยาบาลอำนาจเจริญ,อำนาจเจริญ
59,1074400,CHH,โรงพยาบาลชุมพรเขตรอุดมศักดิ์,ชุมพร
60,1137900,LSH,โรงพยาบาลหลังสวน,ชุมพร
61,1073900,PGN,โรงพยาบาลพังงา,พังงา
62,1074000,TKP,โรงพยาบาลตะกั่วป่า,พังงา
63,1068400,YAL,โรงพยาบาลยะลา,ยะลา
64,1068200,HAT,โรงพยาบาลหาดใหญ่,สงขลา
65,1075000,NAR,โรงพยาบาลนราธิวาสราชนครินทร์,นราธิวาส
66,1074800,PTN,โรงพยาบาลปัตตานี,ปัตตานี
67,1068000,NSI,โรงพยาบาลมหาราชนครศรีธรรมราช,นครศรีธรรมราช
68,1071300,NPH,โรงพยาบาลนครพิงค์,เชียงใหม่
69,1067200,LPA,โรงพยาบาลลำปาง,ลำปาง
70,1071900,SSW,โรงพยาบาลศรีสังวาลย์,แม่ฮ่องสอน
71,1071500,PRH,โรงพยาบาลแพร่,แพร่
72,1071700,PYO,โรงพยาบาลพะเยา,พะเยา
73,1067300,UTD,โรงพยาบาลอุตรดิตถ์,อุตรดิตถ์
74,1072500,SRI,โรงพยาบาลศรีสังวรสุโขทัย,สุโขทัย
75,1072200,TMH,โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช,ตาก
76,1069800,NHL,โรงพยาบาลนครนายก,นครนายก
77,1377800,THU,โรงพยาบาลธรรมศาสตร์เฉลิมพระเกียรติ,ปทุมธานี
78,1066000,AYH,โรงพยาบาลพระนครศรีอยุธยา,พระนครศรีอยุธยา
79,1066300,RYH,โรงพยาบาลระยอง,ระยอง
80,1069900,SKE,โรงพยาบาลสมเด็จพระยุพราชสระแก้ว,สระแก้ว
81,1067000,KKH,โรงพยาบาลขอนแก่น,ขอนแก่น
82,1377700,SNK,โรงพยาบาลศรีนครินทร์ มหาวิทยาลัยขอนแก่น,ขอนแก่น
83,1067100,UDH,โรงพยาบาลอุดรธานี,อุดรธานี
84,1070600,NKY,โรงพยาบาลหนองคาย,หนองคาย
85,1104000,BKH,โรงพยาบาลบึงกาฬ,บึงกาฬ
86,1066700,BRH,โรงพยาบาลบุรีรัมย์,บุรีรัมย์
87,1089700,NAR,โรงพยาบาลนางรอง,บุรีรัมย์
88,1070200,CPH,โรงพยาบาลชัยภูมิ,ชัยภูมิ
89,1066900,SAP,โรงพยาบาลสรรพสิทธิประสงค์,อุบลราชธานี
90,1070000,SSH,โรงพยาบาลศรีสะเกษ,ศรีสะเกษ
91,1074300,RAN,โรงพยาบาลระนอง,ระนอง
92,1073800,KRB,โรงพยาบาลกระบี่,กระบี่
93,1074500,SKH,โรงพยาบาลสงขลา,สงขลา
94,1377900,SKR,โรงพยาบาลสงขลานครินทร์ มหาวิทยาลัยสงขลานครินทร์,สงขลา
95,1074700,PAH,โรงพยาบาลพัทลุง,พัทลุง
96,1068300,TRA,โรงพยาบาลตรัง,ตรัง
97,1074600,SAT,โรงพยาบาลสตูล,สตูล
98,1160900,P2H,โรงพยาบาลพญาไท 2,กรุงเทพมหานคร
99,1148200,BHU,โรงพยาบาลภูมิพลอดุลยเดช,กรุงเทพมหานคร
100,1160000,SLH,โรงพยาบาลเซนต์หลุยส์,กรุงเทพมหานคร
101,1378100,RAM,โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล,กรุงเทพมหานคร
102,1153500,VAJ,คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร,กรุงเทพมหานคร
103,1147000,NOP,โรงพยาบาลนพรัตนราชธานี,กรุงเทพมหานคร
104,1109500,WNH,โรงพยาบาลวานรนิวาส,สกลนคร
105,1145000,SWD,โรงพยาบาลสมเด็จพระยุพราชสว่างแดนดิน,สกลนคร
106,1111900,CTH,โรงพยาบาลจอมทอง,เชียงใหม่
107,1112500,FNG,โรงพยาบาลฝาง,เชียงใหม่
108,1146900,LED,โรงพยาบาลเลิดสิน,กรุงเทพมหานคร
109,1101500,KPH,โรงพยาบาลกุมภวาปี,อุดรธานี
110,1144800,TBH,โรงพยาบาลสมเด็จพระยุพราชท่าบ่อ,หนองคาย
111,1075100,SKL,โรงพยาบาลสุไหงโก-ลก,นราธิวาส
112,1074900,BTH,โรงพยาบาลเบตง,ยะลา
113,1089000,PNN,โรงพยาบาลปากช่องนานา,นครราชสีมา
114,1099800,CHP,โรงพยาบาลชุมแพ,ขอนแก่น
115,1144900,KCP,โรงพยาบาลสมเด็จพระยุพราชกุฉินารายณ์,กาฬสินธุ์
116,1144500,KNH,โรงพยาบาลสมเด็จพระยุพราชกระนวน,ขอนแก่น
117,1148400,ANM,โรงพยาบาลอานันทมหิดล,ลพบุรี
118,2406000,SUT,โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี,นครราชสีมา
119,1243800,QSN,สถาบันสุขภาพเด็กแห่งชาติมหาราชินี,กรุงเทพมหานคร
120,1136600,BNS,โรงพยาบาลบ้านนาสาร,สุราษฎร์ธานี
121,1413800,TRC,โรงพยาบาลท่าโรงช้าง,สุราษฎร์ธานี
122,1136200,KRH,โรงพยาบาลคีรีรัฐนิคม,สุราษฎร์ธานี
123,1130400,KTB,โรงพยาบาลกระทุ่มแบน,สมุทรสาคร
124,1100200,BPH,โรงพยาบาลบ้านไผ่,ขอนแก่น
125,1138800,NTW,โรงพยาบาลสมเด็จพระบรมราชินีนาถ ณ อำเภอนาทวี,สงขลา
126,NIH,NIH,กรมวิทยาศาสตร์การแพทย์,นนทบุรี
127,1153700,KLH,โรงพยาบาลกลาง,กรุงเทพมหานคร
128,1075000,NRH,โรงพยาบาลนราธิวาสราชนครินทร์,นราธิวาส
129,1069500,PTB,โรงพยาบาลพระพุทธบาท,สระบุรี
130,1073300,SOM,โรงพยาบาลสมเด็จพระสังฆราชองค์ที่17,สุพรรณบุรี
131,1112800,SPT,โรงพยาบาลสันป่าตอง,เชียงใหม่
132,1462500,RMSC5,ศูนย์วิทยาศาสตร์การแพทย์ที่ 5 สมุทรสงคราม,สมุทรสงคราม
133,1461900,RMSC12,ศูนย์วิทยาศาสตร์การแพทย์ที่ 12 สงขลา,สงขลา
134,1378200,RMSC8,ศูนย์วิทยาศาสตร์การแพทย์ที่ 8 อุดรธานี,อุดรธานี
135,1378400,RMSC1,ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่,เชียงใหม่
136,1147200,RVT,โรงพยาบาลราชวิถี,กรุงเทพมหานคร
137,1113000,SAS,โรงพยาบาลสันทราย,เชียงใหม่
138,1073000,POT,โรงพยาบาลโพธาราม,ราชบุรี
139,1074200,KSM,โรงพยาบาลเกาะสมุย,สุราษฎร์ธานี
140,1135700,KDH,โรงพยาบาลกาญจนดิษฐ์,สุราษฎร์ธานี
141,1135800,DSH,โรงพยาบาลดอนสัก,สุราษฎร์ธานี
142,1136000,CYH,โรงพยาบาลไชยา,สุราษฎร์ธานี
143,1136100,TCN,โรงพยาบาลท่าชนะ,สุราษฎร์ธานี
144,1136300,BTK,โรงพยาบาลบ้านตาขุน,สุราษฎร์ธานี
145,1136400,PNH,โรงพยาบาลพนม,สุราษฎร์ธานี
146,1136500,TCH,โรงพยาบาลท่าฉาง,สุราษฎร์ธานี
147,1136700,BND,โรงพยาบาลบ้านนาเดิม,สุราษฎร์ธานี
148,1136800,KSH,โรงพยาบาลเคียนซา,สุราษฎร์ธานี
149,1136900,PSH,โรงพยาบาลพระแสง,สุราษฎร์ธานี
150,1137000,PPH,โรงพยาบาลพุนพิน,สุราษฎร์ธานี
151,1137100,CBH,โรงพยาบาลชัยบุรี,สุราษฎร์ธานี
152,1145900,WSH,โรงพยาบาลสมเด็จพระยุพราชเวียงสระ,สุราษฎร์ธานี
153,1122600,LAN,โรงพยาบาลลานสัก,อุทัยธานี
154,1122700,HKH,โรงพยาบาลห้วยคต,อุทัยธานี
155,1122500,RAI,โรงพยาบาลบ้านไร่,อุทัยธานี
156,1072800,DAM,โรงพยาบาลดำเนินสะดวก,ราชบุรี
157,1126500,LOM,โรงพยาบาลหล่มสัก,เพชรบูรณ์
158,1099800,CHP,โรงพยาบาลชุมแพ,ขอนแก่น
159,1144800,TBH,โรงพยาบาลสมเด็จพระยุพราชท่าบ่อ,หนองคาย
160,1148400,ANM,โรงพยาบาลอานันทมหิดล,ลพบุรี
161,1097800,PKH,โรงพยาบาลภูเขียวเฉลิมพระเกียรติ,ชัยภูมิ